path	line	end	name	body_sha256
include/SOURCE/KB_TYPES.h	631	631	MAP_PASSIVE_TRIGGER	70d551cbcf89aaa5476bd1ebeabfe0de6293870fb3f10c1f8dc5fb421656fc30
include/SOURCE/KB_TYPES.h	632	632	MAP_TRIGGER_OBJECT	9283ad9ce8738c60014fc0698cbabacad73d9edadd3325370abddf765450dd3b
include/SOURCE/KB_TYPES.h	633	633	MAP_TRIGGER_IS_ACTION	e59b7fb0900e31eabd76a94c010082ddd9b3a7462237d466f3445829d5be2316
include/SOURCE/KB_TYPES.h	634	634	MAP_TRIGGER_WITH_OBJECT	cdcbc202b57c51f77206913b77a1b588d2750cce4ef432a691f4cea6e54391e3
include/SOURCE/KB_TYPES.h	637	637	MAP_ACTION_TRIGGER	1fe24c9499bd41d0ff494e33fb6b691e4e8688509fe24ab5d6ae9cbb5ae4c65a
include/SOURCE/KB_TYPES.h	638	638	MAP_PASSIVE_TRIGGER	d07facef9050201c3b74b5dcc13f6f2618deea976fcaa8063592bcce80664d47
include/SOURCE/KB_TYPES.h	639	639	MAP_TRIGGER_OBJECT	a344fcccd2e92f369b266e9a951071e32fd2e6b9c5cf8d6610c723145fa1ba73
include/SOURCE/KB_TYPES.h	640	640	MAP_TRIGGER_IS_ACTION	7a4a57e84fa127bc514539e0445c05f521f6fc7bad38bc2723533e0fd9e3336f
include/SOURCE/KB_TYPES.h	641	642	MAP_TRIGGER_WITH_OBJECT	794462bf4005d615e64633b7e0b06ced9346fef470dd1fb61119718cd513fb5d
include/SOURCE/Modem.h	2	2	HOMM2_MODEM_H	554df069eb4d72116a1ef1fc23c6b5a97eec633d0f9c8e83eb27ce29a2083fe4
include/SOURCE/NOOPT.h	2	2	HOMM2_NOOPT_H	ccf4726e12330e655e0f202bae673a494c579e9955850de30b2584daee69198c
include/SOURCE/Netbios.h	2	2	HOMM2_NETBIOS_H	c8997d3b68615d210c65082d7584be7823d5c70d6d558813570fa01ab63c30e6
include/SOURCE/Newgame.h	2	2	HOMM2_NEWGAME_H	a691d41d2570833e3b31f0dd6d9518a360a26611cc85a0ed795e5c772f9c9991
include/SOURCE/Overview.h	2	2	HOMM2_OVERVIEW_H	aefbe29c4e8c2c0ab56f42a349c3711fafa2e3d5186ef1158febfbdcb74e3e43
include/SOURCE/PATH.h	2	2	HOMM2_PATH_H	03de6bdbb6ade8f9c77e46845b18498bbd50b30336d116e8f3adf0bb6ed3c77c
include/SOURCE/PHILAI.h	2	2	HOMM2_PHILAI_TU_H	7caa3be65b8e6a2cd324f61a075bdce189b41e967214300d666c0505446e207c
include/SOURCE/PHILAI.h	59	59	AI_GENERIC_SITE_SIRENS_ARMY_REMAINDER	582ff4a893310ba556b8f3cee94a7e7c1aeb5cf466c400d8d0eeb071382982b0
include/SOURCE/RECRUIT.h	2	2	HOMM2_RECRUIT_H	07365e3fe60611f1b0900cc4bcb512f4b86b7a49012cf6d374166d465ebd4be8
include/SOURCE/REMOTE.h	2	2	HOMM2_REMOTE_H	e13000ce34cfa9ed6b70d65d4523eb658b4decd909bc4f4b8b5daf8b493fb5d4
include/SOURCE/REMOTE_TYPES.h	2	2	HOMM2_REMOTE_TYPES_H	4b7397ca4043ecd774fcdc144f3c5e153f09806cd557248111e301b10f9c7787
include/SOURCE/REQUEST.h	2	2	HOMM2_REQUEST_H	e28f1389b3857121e654145e7b559c03d5c71382bb6cbd9b24470906d4407011
include/SOURCE/SETUP.h	2	2	HOMM2_SETUP_H	59bcb0b1263be6c28d9c3fd2855aedf06ecf3783c5514534801a970fb50f64bb
include/SOURCE/SMACKMGR.h	2	2	HOMM2_SMACKMGR_H	0dd136bea987eb580affaea86f6c302e4ac82b0ae741029dfee2f2e4bff91d0a
include/SOURCE/SPELLS.h	2	2	HOMM2_SPELLS_H	05e998a05146b5fd7d9840201a03cfa7fc3a83428cd09011f8b77f8433c6d64b
